iteration,objective
1,0.00040017171691134935
2,0.02608996781297033
3,0.06769853316921484
4,0.1387755947517281
5,0.20473391822111658
6,0.2864931858912858
7,0.38033447737516274
8,0.46014531296021927
9,0.5288225204261624
10,0.5699598564892052
11,0.6168764764455811
12,0.6455663173729191
13,0.6911090402456778
14,0.7265049845895608
15,0.7589823785974609
16,0.7780248377369562
17,0.7838928284300545
18,0.7881087078723173
19,0.7918121433148837
20,0.7939530969753633
21,0.7980521011452362
22,0.8039256267415738
23,0.81319530595372
24,0.8195103947071587
25,0.8293066876291167
26,0.8357718463330442
27,0.8397854542950556
28,0.8450882888036244
29,0.8457512701343698
30,0.8489543294702108
