iteration,objective
1,0.00018561514887874942
2,0.0011167372067467706
3,0.0047178346284056216
4,0.015676070358965524
5,0.04060442445941255
6,0.0676824523921988
7,0.08971646509654127
8,0.10790636805959888
9,0.12045604670232249
10,0.13011742058467243
11,0.13865446025678452
12,0.14619902138076385
13,0.15249267924526333
14,0.15806403183789514
15,0.16320202282419022
16,0.16739236667450524
17,0.17136176852469193
18,0.17338986189659317
19,0.1744864962867379
20,0.17584669182305998
21,0.1759577519986422
22,0.1772938993398156
23,0.17720574837978742
24,0.17828924725289988
25,0.17812826448320224
26,0.17906525832719083
27,0.17885512846274354
28,0.17980254172022891
29,0.17962657588101866
30,0.18041994274805795
