iteration,objective
1,-0.030538168107051882
2,-0.0026413053399429462
3,-3.399617493480008e-05
4,-3.276828850532117e-07
5,-2.9286973395101045e-09
6,-4.74172518534164e-11
7,5.8484625199120425e-12
8,1.8907751853818256e-15
9,1.797759760505973e-10
10,0.00015928623302468087
11,0.003754990025243215
12,0.020405261824777633
13,0.05446791527448417
14,0.09531727792572937
15,0.14277339512440224
16,0.1449933089944266
17,0.18238045213048293
18,0.23822121123717094
19,0.27742992210876255
20,0.30124033872563216
21,0.31695363182532166
22,0.33212999514922437
23,0.3382032384930362
24,0.348809941455131
25,0.35127371369087923
26,0.35411806086217334
27,0.35758195558858324
28,0.3665812368062044
29,0.36565450170438324
30,0.37713061990974617
